from,to,weight
0,4,5
1,14,10
1,7,10
1,8,10
1,13,10
2,68,10
3,10,5
21,3,10
25,3,10
3,68,5
3,42,10
3,75,10
3,70,5
3,45,5
28,3,10
20,3,10
5,0,5
20,5,10
46,5,10
5,75,5
5,10,5
5,13,5
5,3,5
5,8,10
11,5,10
5,7,10
5,6,10
5,9,10
5,1,5
6,23,5
6,39,5
6,71,10
6,42,5
32,6,10
6,75,5
6,70,5
6,55,5
6,56,5
52,6,10
6,45,5
6,7,10
6,0,5
6,3,5
6,28,5
6,10,5
6,1,5
7,74,5
7,68,5
7,55,5
7,70,5
7,21,5
7,3,5
7,0,5
7,13,5
7,4,5
7,10,5
8,39,5
8,74,5
42,8,10
8,35,5
46,8,10
8,55,5
32,8,10
25,8,10
8,68,5
8,24,5
8,23,5
8,27,5
8,12,5
75,8,10
44,8,10
70,8,10
33,8,10
56,8,10
14,8,10
8,2,5
8,6,5
21,8,10
8,4,5
8,13,5
8,45,5
8,0,5
10,8,10
28,8,10
20,8,10
8,3,5
8,9,10
9,23,5
9,28,5
9,0,5
9,56,5
9,21,5
33,9,10
72,9,10
9,39,5
9,10,5
9,13,5
9,1,5
14,9,10
11,9,10
10,74,5
10,42,10
10,39,10
10,32,10
10,35,5
10,75,10
10,21,5
10,0,5
10,1,5
10,52,10
10,45,10
10,20,10
10,4,5
11,51,10
11,61,5
11,8,5
11,10,5
11,0,5
11,4,5
11,7,5
11,44,10
11,14,10
11,1,5
14,74,5
14,42,5
14,23,5
14,68,5
14,56,5
14,44,10
14,10,5
14,41,5
14,12,5
14,33,10
14,3,5
14,4,5
14,13,5
14,0,5
14,21,5
14,27,5
14,24,5
14,2,5
15,37,10
16,74,5
16,68,5
16,23,5
16,45,5
16,56,5
16,33,5
16,10,5
16,8,5
16,28,5
16,2,5
16,0,5
16,24,5
16,21,5
16,13,5
16,30,5
16,1,5
16,29,10
16,4,5
17,74,5
17,68,5
17,42,5
17,39,5
17,30,5
17,21,5
17,35,5
17,75,5
17,77,10
17,27,5
17,13,5
17,12,5
17,28,5
17,3,5
17,70,5
